a;x;time_ms;y_result
5;1013;3,070000;93466070119932438103171956500630495915771022511578120605395037280146550576183948350561094337277497717747144365143129884196236575548737806829740382793083113699321290925700968189423771577755014797363929562255820851891055532497320705998929116805817406326908007627209091087233638166558696717223669306548083090469
5;10007;0,322900;35838934678109342070495248325140713457060852687165204593147196845404089922670279238357922607939460455464830397285963767495717262498972348138653429120099547058887410820215418317055115519303847790624580354411012912034073635563420530444556564886484069764829120025274107122427404329608650569624966684207729637441
5;100003;0,075500;115313167671826425854503375324482841967503262952376311949976842102755803421699473230974038305002710587577462844195068344811932032468399624484279217123811240059119327589715970020083762465313001176344590989201791807950663406189292667850133376917342754712206856282822968992385478620380032772666967229680052435294
5;1000003;0,103000;80840827286869450176388693881453884103847882512026385506612411514108911572662552060255697576256660277222029329881453480114589018762214009083516933600054712609713353759648687621158297907108729016565331857209564976541724792300546205366817479034826769856639950292002445731678764080973317337585627760205129423916
5;10000019;0,127700;59674605460646885624576285367002588997419101462863397279129528842040980102812145702888202028236793219096159637653363447953967909162686283997202063603705014589533641180178588830515032887226609033272397028168445386882035056463558487393953408221440446972200088104360465519560615876287318717171810833123776481636
15;1013;0,034800;118303053976991594512907051532108082587117424716233064169314551444528278109227294492578987724618112751448942992535365532543085010770521126285892172033916017510913013537573970954142008385607801456667859649789837274054036129334807489272482569409689457212793932231672590926873147136682660865051456357611800229415
15;10007;0,062100;47081678937424972515780411373386719588724260685824365053838271157165224767654114042066904480098460332307816187353231178482629146944119959692824892456105583177646376466318240913082205199351470550326507666196333061784386087583161534817664134713730531402776211276793685413691165202596339549275428648219764279941
15;100003;0,080600;54201273706244522524231476973595542603042630212551778543788606607735882121641904420357261637292049420948456571466319608358704106575788643321399414920770348180571801371479942967493099361088605582372741237926054344024835455171865347888333429933400217725059441385267457621833061351145017493353052763029462282211
15;1000003;0,105500;53622582280159547475950264459620406866313187411891812628464472342749877824136512484840673393634194133460598495899684483959516626115585766869655499320289407450179995521056157413866462277728450478972600186881718245144113415322960931598166165122949487402918917315283383668499037188478552660827294704082807677225
15;10000019;0,134800;1774137119355525976107694932211946029678960131204834282095672475351974735834232209564381216407982467481789773883415269066002065146036401426897140683688245263398958602049289146350009645094898171147510960362777581953624846814832134534985720415279461338653132371811752655250193585823776605120810492997373557040
25;1013;0,036100;79858709078476713690554837254487873193056196983881111871409234574946741111966157224275287741925272517786602951173375281804376746646625037281152390024090082361341662529206183891411561263622364750191192902850198467236103019286936911003712830374724058317591094746533104775197270622354320786444910159145729434563
25;10007;0,063300;5863483690792980060377683401587863268346125332537387818431409809319294777796916953716655309811865412401649113247799046300117943778456802824817416682359302527013569062156317945509396269033530768283920389741957294243530228856699898558010395822054917595976800458877187239715917444072378145890839294782769797329
25;100003;0,081900;6724939428085517087493278293105529117812156057935251828141974149464854402345445444599702755539539542406984704130476276902819817350799945621346767466900044997466618109452787849380076592354318078547421428033882666331957804628462263903979677330008122650011414813683011483161894442619106518163032271947627883685
25;1000003;0,107800;4090240080758578136417933788497844266512030912015800472935336699060374787600133877113687224562776811046235211244540167974697087930318275649429043670104414584101923274346787835805616072436934976227160930590598769596096024159842860994887222631525822128955140192108577459535884274886906495560618567850688494367
25;10000019;0,136300;95237241051917141881074673079022463587608610188351905860354466375570065066640961033405501277347543923241374033326363228475035512083215688458751874693529305858454525984923489821773191346003765841148097219089931760709679948746622768643608961577697247018314167127689218298088852742648983317982281058412856464847
35;1013;0,037300;6666981968808994520068479537446637163000140209701907872356401390607927045357006267920764152039777292837952070691301663214863171080337543141982288033361520896627682411107253431916330230372888484036950251890280036045951885566970677322275608536617320952675167885135265910778410422860483429132177925747382836827
35;10007;0,062000;74333125219225800458835965521743483254955697309385640291444344382422186102988305406070451271193095281728285828349811739395651982383849437719310025313855645752587601197209274054295887271927057264020736682075102643423946692522907782092829597823575642920139121090605090327424790912800557817171498046270983847684
35;100003;0,083400;56013352683810330345943418562264773449472749492156506835427145366277958743129120940717411415283947657322409560161354263458362255513806704053116851820785418648615691261885951821885725061710369713098666908561653771108079939761394726980793789111602630898324382457316115108938545014513765037494977040300730014923
35;1000003;0,116200;28186700336150168812917254679643832920892213879544024669426555946359846408868551491656311822949750900741042212206364164803029674191550980572772295624202661693372735873201146085925607780521371248626917118582183189240654427719721775036222448395672497217479626835628801417948891817450291241703856895582528200533
35;10000019;0,137900;39860625999787990626967113281886736759012710199260966776603573508708057296649728883568362067893598862903956517943949509147668607376234186448454157250652819758491471528523037891387421243949523799205580170301575796638681398113025612415335143080470508380611298253829504487621854120383321673626673248484725354370
