Символ;Исходный;Зашифрованный;Отн_исходный;Отн_зашифрованный
а;46290;46290;0,076775;0,076775
б;11565;11565;0,019181;0,019181
в;28236;28236;0,046831;0,046831
г;10624;10624;0,017621;0,017621
д;18840;18840;0,031247;0,031247
е;51416;51416;0,085276;0,085276
ё;85;85;0,000141;0,000141
ж;6706;6706;0,011122;0,011122
з;10192;10192;0,016904;0,016904
и;41319;41319;0,068530;0,068530
й;6320;6320;0,010482;0,010482
к;24904;24904;0,041305;0,041305
л;27009;27009;0,044796;0,044796
м;17904;17904;0,029695;0,029695
н;37320;37320;0,061897;0,061897
о;67964;67964;0,112722;0,112722
п;16799;16799;0,027862;0,027862
р;24990;24990;0,041447;0,041447
с;30826;30826;0,051127;0,051127
т;37010;37010;0,061383;0,061383
у;18242;18242;0,030255;0,030255
ф;738;738;0,001224;0,001224
х;5908;5908;0,009799;0,009799
ц;1932;1932;0,003204;0,003204
ч;11480;11480;0,019040;0,019040
ш;5782;5782;0,009590;0,009590
щ;1798;1798;0,002982;0,002982
ъ;197;197;0,000327;0,000327
ы;11428;11428;0,018954;0,018954
ь;12589;12589;0,020880;0,020880
э;1337;1337;0,002217;0,002217
ю;3633;3633;0,006026;0,006026
я;11550;11550;0,019156;0,019156
