Символ;Исходный;Зашифрованный;Отн.исходный;Отн.зашифрованный
а;46290;10192;0,076775;0,016904
б;11565;197;0,019181;0,000327
в;28236;17904;0,046831;0,029695
г;10624;11550;0,017621;0,019156
д;18840;30826;0,031247;0,051127
е;51416;18840;0,085276;0,031247
ё;85;1932;0,000141;0,003204
ж;6706;41319;0,011122;0,068530
з;10192;11428;0,016904;0,018954
и;41319;37320;0,068530;0,061897
й;6320;46290;0,010482;0,076775
к;24904;37010;0,041305;0,061383
л;27009;51416;0,044796;0,085276
м;17904;11480;0,029695;0,019040
н;37320;6320;0,061897;0,010482
о;67964;12589;0,112722;0,020880
п;16799;67964;0,027862;0,112722
р;24990;11565;0,041447;0,019181
с;30826;18242;0,051127;0,030255
т;37010;85;0,061383;0,000141
у;18242;5782;0,030255;0,009590
ф;738;24904;0,001224;0,041305
х;5908;1337;0,009799;0,002217
ц;1932;16799;0,003204;0,027862
ч;11480;28236;0,019040;0,046831
ш;5782;738;0,009590;0,001224
щ;1798;6706;0,002982;0,011122
ъ;197;1798;0,000327;0,002982
ы;11428;27009;0,018954;0,044796
ь;12589;3633;0,020880;0,006026
э;1337;24990;0,002217;0,041447
ю;3633;10624;0,006026;0,017621
я;11550;5908;0,019156;0,009799
