Символ;Исходный;Зашифрованный;Отн.исходный;Отн.зашифрованный
а;46290;36910;0,076775;0,061217
б;11565;10133;0,019181;0,016806
в;28236;17256;0,046831;0,028620
г;10624;14232;0,017621;0,023605
д;18840;16186;0,031247;0,026845
е;51416;22271;0,085276;0,036938
ё;85;11011;0,000141;0,018262
ж;6706;8064;0,011122;0,013375
з;10192;7124;0,016904;0,011816
и;41319;22505;0,068530;0,037326
й;6320;12109;0,010482;0,020083
к;24904;21511;0,041305;0,035677
л;27009;10365;0,044796;0,017191
м;17904;17018;0,029695;0,028225
н;37320;24345;0,061897;0,040378
о;67964;22030;0,112722;0,036538
п;16799;20825;0,027862;0,034539
р;24990;10787;0,041447;0,017891
с;30826;25125;0,051127;0,041671
т;37010;20798;0,061383;0,034495
у;18242;23688;0,030255;0,039288
ф;738;7822;0,001224;0,012973
х;5908;14562;0,009799;0,024152
ц;1932;27715;0,003204;0,045967
ч;11480;19940;0,019040;0,033072
ш;5782;16840;0,009590;0,027930
щ;1798;26601;0,002982;0,044119
ъ;197;19457;0,000327;0,032271
ы;11428;19847;0,018954;0,032917
ь;12589;30616;0,020880;0,050778
э;1337;16568;0,002217;0,027479
ю;3633;12894;0,006026;0,021385
я;11550;15778;0,019156;0,026169
