label;symbol;count;frequency_percent
source;A;13;10.1562
source;B;1;0.7812
source;C;7;5.4688
source;D;3;2.3438
source;E;15;11.7188
source;F;3;2.3438
source;G;0;0.0000
source;H;1;0.7812
source;I;8;6.2500
source;J;0;0.0000
source;K;1;0.7812
source;L;2;1.5625
source;M;3;2.3438
source;N;8;6.2500
source;O;8;6.2500
source;P;5;3.9062
source;Q;0;0.0000
source;R;14;10.9375
source;S;10;7.8125
source;T;13;10.1562
source;U;5;3.9062
source;V;3;2.3438
source;W;0;0.0000
source;X;1;0.7812
source;Y;3;2.3438
source;Z;1;0.7812
